broker,share
dipl. ing. kvetoslava kalabova,0.00023575175340366595
michelle wendler,0.00023575175340366595
mag. britta müller,0.00023575175340366595
mathias kreizinger,0.00023575175340366595
evelyn pellmann,0.00023575175340366595
marica ivancic,0.00023575175340366595
ursula klausberger,0.00023575175340366595
mag. martin knor,0.00023575175340366595
mag. dominik maitz,0.00023575175340366595
stefanie baumgartner,0.00023575175340366595
mag. michael moser,0.00023575175340366595
nina hafenrichter,0.00023575175340366595
mag. cornelia pflug,0.00023575175340366595
marieluise engelmann,0.00023575175340366595
mag.(fh) gernot kriwanek,0.00023575175340366595
ghi - gruber-hager immobilien,0.00023575175340366595
"mag. sami mona, msc",0.00023575175340366595
gabi lüftner,0.00023575175340366595
zuzana hutter,0.00023575175340366595
renate hartlieb,0.00023575175340366595
vivienne spicak,0.00023575175340366595
silvana ljubisavljevic,0.00023575175340366595
theresa holy,0.00023575175340366595
gerfried altmüller-wiesenberger,0.00023575175340366595
mag. michaela orisich,0.00023575175340366595
sabine nanni,0.00023575175340366595
dipl.im. mario kletzl,0.00023575175340366595
bmstr. di wolfgang steinbauer,0.00023575175340366595
mag. ing. harald urban,0.00017681381505274944
dr. andrea mittermayr,0.00017681381505274944
hartmut lehner,0.00017681381505274944
stefan bouvier,0.00017681381505274944
heinz tiefenbach,0.00017681381505274944
alexander penkner,0.00017681381505274944
kristian zimmermann,0.00017681381505274944
stefan luschnig,0.00017681381505274944
mag. eva zödi,0.00017681381505274944
nicole strassmeier,0.00017681381505274944
harald panek,0.00017681381505274944
doris schneider-hiesberger,0.00017681381505274944
amir samadani,0.00017681381505274944
elemér szüts,0.00017681381505274944
anita hosmann,0.00017681381505274944
gregor seher,0.00017681381505274944
erhard kovacevic,0.00017681381505274944
philip zorn,0.00017681381505274944
zelimchan kagirov,0.00017681381505274944
qin chen,0.00017681381505274944
volkan siddetli,0.00017681381505274944
maria zeiler,0.00017681381505274944
mag. georgia olbrich,0.00017681381505274944
lukas hochmuth,0.00017681381505274944
hans georg homolatsch,0.00017681381505274944
mag. antonia drößler ba,0.00017681381505274944
christian poth,0.00017681381505274944
susanne schuster-aßmann,0.00017681381505274944
kevin dzieza,0.00017681381505274944
"aslan kurtaran, mba",0.00017681381505274944
alexander sigon,0.00017681381505274944
armin max mahdavi,0.00017681381505274944
mag. andrea jäger,0.00017681381505274944
helene christiani,0.00017681381505274944
mag. alexander steinbach,0.00017681381505274944
patrick cruz,0.00017681381505274944
mag. anna steurer,0.00017681381505274944
mario reinsperger,0.00017681381505274944
gabi strobl,0.00017681381505274944
kenan bilgili,0.00017681381505274944
slobodan lajic,0.00017681381505274944
thomas eder,0.00017681381505274944
max palka,0.00017681381505274944
bernhard koglbauer,0.00017681381505274944
ulrike katharina dvorak,0.00017681381505274944
mag. florian huber,0.00017681381505274944
jutta nitsch,0.00017681381505274944
arkadi moullaev,0.00017681381505274944
"dildora djuraeva, llm",0.00017681381505274944
pino reinhard lux,0.00017681381505274944
renate fussenegger,0.00017681381505274944
tamara jilek,0.00017681381505274944
silvia m. hufnagl,0.00017681381505274944
gerald gansterer,0.00017681381505274944
martina denich-kobula,0.00017681381505274944
walter fichtinger ceo nr1-immomax,0.00017681381505274944
sylvia leisch,0.00017681381505274944
barbara forsthuber,0.00017681381505274944
daniel masek,0.00017681381505274944
daniela erlach,0.00017681381505274944
mag. karin rössler-haider,0.00017681381505274944
andreas moritzer,0.00017681381505274944
"doris deutsch, mba, akad. im.",0.00017681381505274944
